"","lp__","hs[1]","hs[2]","hl","ts[1]","ts[2]","gamma","rho[1]","phi","delta[1]","delta[2]","delta[3]","delta[4]","L[1,1]","tau[1]","tau[2]","tau[3]","tau[4]","w[1]","lc[1,1]","lc[2,1]","lc[3,1]","lc[2,2]","lc[2,3]","lc[2,4]","alpha[1]","beta[1]","ll"
"15",-644.249,1.44502,4.01654,83.6319,-2.1793,0.0942107,0.389238,2.25158,0.237137,0.182864,0.352242,0.160578,0.165045,0.560767,1.19495,1.30279,1.15805,0.311867,2.65419,5.06296,6.78978,6.38157,7.19725,6.77081,6.32037,0.326382,0.35624,-580.685
"16",-642.833,1.3274,4.2725,54.2013,-2.38856,0.297416,0.479787,2.32702,0.208395,0.206941,0.444072,0.186693,0.291193,0.244811,0.380203,3.14174,1.76991,0.91033,2.32891,5.20313,6.72218,6.81879,6.91347,6.7448,5.78261,0.489216,0.588952,-576.676
"17",-653.856,2.24741,4.20006,75.4061,-2.73051,0.236779,0.393315,2.85321,0.16039,0.163525,0.373631,0.152998,0.1045,0.847459,0.92711,2.20798,2.15098,0.941995,2.66553,4.93119,6.81511,7.25564,7.1189,6.83125,6.02391,0.415479,0.466229,-575.976
"18",-642.338,2.6326,4.20526,76.5869,-2.82321,-0.628935,0.412715,2.65243,0.253131,0.173859,0.482834,0.1719,0.146749,0.940658,1.9197,1.28807,2.56837,0.91734,2.73988,4.83141,6.70785,7.11132,7.07062,6.80628,6.12933,0.440777,0.391889,-574.839
"19",-649.312,1.74699,4.75687,75.5851,-1.89399,0.342003,0.560781,2.67513,0.200838,0.235734,0.441743,0.233516,0.144907,0.524424,0.716001,0.0658993,1.51205,0.146788,2.53491,5.01356,6.73658,7.81502,6.95931,6.71719,5.74108,0.461919,0.393403,-572.375
"20",-648.996,1.44625,4.33291,95.0362,-2.09647,0.122304,0.472693,2.23793,0.252415,0.228424,0.41575,0.146426,0.138851,0.404983,1.29015,1.18899,5.10808,0.660063,4.30819,5.08988,6.86836,5.51975,7.3975,6.97007,6.43484,0.391048,0.287856,-575.157
"21",-654.136,0.746496,4.38084,67.38,-1.59752,-0.602212,0.406766,2.80442,0.300394,0.185137,0.313963,0.108282,0.0402869,1.20632,0.969765,0.45732,2.28259,2.49439,2.82955,4.95235,6.89753,5.53975,7.10739,6.82942,5.82985,0.439006,0.387215,-574.628
"22",-657.243,1.10628,3.8581,73.636,-2.25063,0.209305,0.434327,3.10592,0.339116,0.187291,0.428434,0.165969,0.11854,0.0390481,2.24561,1.08942,1.10553,2.8702,2.28591,5.95227,6.74555,7.13453,6.89421,6.72417,5.7905,0.676236,0.536041,-585.83
"23",-659.959,1.20592,4.44723,59.6746,-3.14197,0.0250437,0.576089,2.42947,0.277687,0.196646,0.385057,0.116932,0.175967,0.30514,0.0731753,0.987939,3.26373,2.59342,2.59848,5.18106,6.74985,6.01517,7.02498,6.50833,6.63617,0.416846,0.607224,-583.544
"24",-651.64,1.11666,4.7258,60.1955,-1.92949,0.87643,0.450807,2.16573,0.33154,0.170308,0.391927,0.137222,0.0592489,0.500071,1.74918,0.0271775,2.2159,0.267975,2.35872,4.96872,6.72261,4.88722,6.95976,6.66894,6.38823,0.596608,0.469271,-573.629
"25",-654.174,1.80572,5.66131,59.2189,-2.47965,0.201379,0.47382,2.42727,0.273283,0.163493,0.333032,0.13607,0.0462068,0.833445,0.804775,2.22162,1.88911,2.06647,2.50101,4.70965,6.7948,5.3676,6.8895,6.88722,5.99682,0.372839,0.458491,-576.019
"26",-645.224,2.68592,4.59479,70.1,-2.82785,0.394203,0.496809,2.31144,0.30768,0.222485,0.420683,0.153501,0.0587648,0.86094,0.662678,0.340152,3.65313,1.78739,2.41512,4.74313,6.77965,7.20127,6.98654,6.87941,6.14676,0.649787,0.517693,-570.941
"27",-655.936,1.89267,4.97111,78.5664,-2.56068,-0.116732,0.486515,2.42154,0.283003,0.172306,0.387374,0.1638,0.156586,0.424919,2.48776,2.02558,1.41002,1.42085,2.71605,5.17253,6.8109,5.7792,6.98502,7.04546,6.23203,0.48776,0.335656,-582.457
"28",-666.246,1.40473,5.06943,38.6281,-2.03629,0.398941,0.508797,2.40528,0.193462,0.19905,0.357228,0.129006,0.183087,0.0284817,1.0895,0.347713,1.68722,0.872952,2.09799,5.22616,6.46878,6.44314,6.74144,6.71526,5.39547,0.484283,0.630254,-586.887
"29",-650.762,2.01042,3.24352,79.9425,-1.11113,-0.109489,0.474222,2.28616,0.217505,0.159348,0.435456,0.138554,0.0583882,0.319601,2.00784,1.69064,1.2289,1.53401,4.39334,4.92484,6.88652,7.52546,7.26282,6.69381,6.0136,0.248622,0.216295,-574.102
"30",-658.56,1.66684,3.40633,55.6191,-1.91476,0.86386,0.45664,2.55667,0.134795,0.211398,0.467613,0.17756,0.0623488,1.61461,1.091,0.134162,1.82981,1.58903,2.01769,4.34106,6.47409,7.7248,6.76624,6.65438,5.39148,0.546911,0.542646,-577.217
"31",-643.831,2.86008,4.67328,85.908,-3.00579,1.02645,0.476524,2.30587,0.212116,0.187289,0.38423,0.154952,0.181158,1.16079,0.536722,1.3322,2.73087,2.26807,2.69328,4.75008,6.78098,7.44994,6.96487,6.77472,6.70774,0.521939,0.466156,-576.153
"32",-637.951,1.61368,4.24639,61.3419,-2.13531,-0.106529,0.408239,2.38268,0.23466,0.167355,0.405565,0.207657,0.0909927,0.310966,1.30241,1.56087,1.76578,0.55047,1.69962,5.10995,6.51011,7.47565,6.38656,6.71042,5.12232,0.695074,0.856226,-577.327
"33",-659.038,2.0612,4.19479,76.9875,-1.53023,-0.411329,0.491602,2.74644,0.253667,0.189882,0.385591,0.225685,0.166963,0.579381,1.96886,0.147363,3.44102,1.22217,2.51784,4.95739,6.81286,6.68517,7.01252,7.05424,5.37106,0.569225,0.363126,-584.687
"34",-640.984,2.00595,4.06924,80.2317,-2.11157,0.529373,0.389922,2.18916,0.262067,0.164509,0.371203,0.145324,0.140545,0.492072,1.91876,0.173131,2.39201,0.130365,3.67147,4.97654,6.77087,7.09321,7.2587,6.73101,6.42818,0.401163,0.442265,-575.8
